X,CH1,CH2,
Second,Volt,Volt,
1.21000e-04,-4.56e+00,-3.40e-02,
1.22000e-04,-4.64e+00,-3.60e-02,
1.23000e-04,-4.56e+00,-3.20e-02,
1.24000e-04,-4.64e+00,-3.40e-02,
1.25000e-04,-4.64e+00,-3.60e-02,
1.26000e-04,-4.64e+00,-3.40e-02,
1.27000e-04,-4.72e+00,-3.60e-02,
1.28000e-04,-4.64e+00,-3.20e-02,
1.29000e-04,-4.72e+00,-3.60e-02,
1.30000e-04,-4.72e+00,-3.60e-02,
1.31000e-04,-4.64e+00,-3.20e-02,
1.32000e-04,-4.72e+00,-3.40e-02,
1.33000e-04,-4.64e+00,-3.60e-02,
1.34000e-04,-4.64e+00,-3.60e-02,
1.35000e-04,-4.72e+00,-3.20e-02,
1.36000e-04,-4.72e+00,-3.40e-02,
1.37000e-04,-4.64e+00,-3.20e-02,
1.38000e-04,-4.64e+00,-3.60e-02,
1.39000e-04,-4.80e+00,-3.20e-02,
1.40000e-04,-4.64e+00,-3.20e-02,
1.41000e-04,-4.80e+00,-3.60e-02,
1.42000e-04,-4.72e+00,-3.60e-02,
1.43000e-04,-3.60e+00,2.60e-02,
1.44000e-04,-3.60e+00,2.80e-02,
1.45000e-04,-3.36e+00,4.20e-02,
1.46000e-04,-3.36e+00,4.20e-02,
1.47000e-04,-3.28e+00,4.80e-02,
1.48000e-04,-3.28e+00,4.80e-02,
1.49000e-04,-3.20e+00,5.20e-02,
1.50000e-04,-3.20e+00,4.80e-02,
1.51000e-04,-3.12e+00,5.20e-02,
1.52000e-04,-3.12e+00,5.00e-02,
1.53000e-04,-3.20e+00,5.40e-02,
1.54000e-04,-3.20e+00,5.00e-02,
1.55000e-04,-3.12e+00,5.20e-02,
1.56000e-04,-3.12e+00,5.00e-02,
1.57000e-04,-3.04e+00,5.20e-02,
1.58000e-04,-3.12e+00,5.20e-02,
1.59000e-04,-3.04e+00,5.00e-02,
1.60000e-04,-3.12e+00,5.20e-02,
1.61000e-04,-3.04e+00,5.00e-02,
1.62000e-04,-3.04e+00,5.00e-02,
1.63000e-04,-3.12e+00,5.20e-02,
1.64000e-04,-3.04e+00,5.00e-02,
1.65000e-04,-3.04e+00,5.20e-02,
1.66000e-04,-3.04e+00,5.00e-02,
1.67000e-04,-3.12e+00,5.20e-02,
1.68000e-04,-2.96e+00,5.20e-02,
1.69000e-04,-3.04e+00,5.00e-02,
1.70000e-04,-3.04e+00,5.00e-02,
1.71000e-04,-2.96e+00,4.80e-02,
1.72000e-04,-2.96e+00,5.00e-02,
1.73000e-04,-3.04e+00,5.20e-02,
1.74000e-04,-2.96e+00,5.00e-02,
