X,CH1,CH2,
Second,Volt,Volt,
3.80000e-07,1.52e+00,8.00e-03,
3.90000e-07,1.44e+00,1.20e-02,
4.00000e-07,1.44e+00,1.20e-02,
4.10000e-07,1.28e+00,1.20e-02,
4.20000e-07,1.12e+00,1.20e-02,
4.30000e-07,8.80e-01,1.20e-02,
4.40000e-07,6.40e-01,8.00e-03,
4.50000e-07,3.20e-01,8.00e-03,
4.60000e-07,7.99e-02,4.00e-03,
4.70000e-07,-3.20e-01,4.00e-03,
4.80000e-07,-4.80e-01,8.00e-03,
4.90000e-07,-8.00e-01,8.00e-03,
5.00000e-07,-1.04e+00,4.00e-03,
5.10000e-07,-1.36e+00,4.00e-03,
5.20000e-07,-1.44e+00,4.00e-03,
5.30000e-07,-1.68e+00,0.00e+00,
5.40000e-07,-1.76e+00,4.00e-03,
5.50000e-07,-1.68e+00,0.00e+00,
5.60000e-07,-1.68e+00,4.00e-03,
5.70000e-07,-1.60e+00,4.00e-03,
5.80000e-07,-1.44e+00,4.00e-03,
5.90000e-07,-1.28e+00,4.00e-03,
6.00000e-07,-1.04e+00,4.00e-03,
6.10000e-07,-8.00e-01,8.00e-03,
6.20000e-07,-4.80e-01,4.00e-03,
6.30000e-07,-1.60e-01,8.00e-03,
6.40000e-07,7.99e-02,8.00e-03,
6.50000e-07,4.80e-01,8.00e-03,
6.60000e-07,7.20e-01,8.00e-03,
6.70000e-07,9.60e-01,1.20e-02,
6.80000e-07,1.20e+00,1.20e-02,
6.90000e-07,1.28e+00,1.20e-02,
7.00000e-07,1.44e+00,1.20e-02,
7.10000e-07,1.52e+00,1.20e-02,
7.20000e-07,1.52e+00,1.20e-02,
7.30000e-07,1.52e+00,1.20e-02,
7.40000e-07,1.36e+00,1.20e-02,
7.50000e-07,1.20e+00,1.20e-02,
7.60000e-07,9.60e-01,1.20e-02,
7.70000e-07,7.20e-01,8.00e-03,
7.80000e-07,4.80e-01,8.00e-03,
7.90000e-07,1.60e-01,4.00e-03,
8.00000e-07,-1.60e-01,4.00e-03,
8.10000e-07,-4.00e-01,8.00e-03,
8.20000e-07,-7.20e-01,4.00e-03,
8.30000e-07,-1.04e+00,4.00e-03,
8.40000e-07,-1.28e+00,0.00e+00,
8.50000e-07,-1.52e+00,4.00e-03,
8.60000e-07,-1.52e+00,4.00e-03,
8.70000e-07,-1.68e+00,4.00e-03,
8.80000e-07,-1.68e+00,4.00e-03,
